act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck???...",?/?Das Leben der Anderen,265193人评价,https://movie.douban.com/subject/1900841/,别样人生。,40,9.1,窃听风暴
,,,,,,,
"
                            导演: Guy Ritchie???主演: Jason Flemyng / Dexter Fletcher / Nick Moran","?/?Lock, Stock and Two Smoking Barrels",310652人评价,https://movie.douban.com/subject/1293350/,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,41,9.1,两杆大烟枪
,,,,,,,
"
                            导演: 米洛斯·福尔曼 Milo? Forman???主演: 杰克·尼科尔森 Jack Nichols...",?/?One Flew Over the Cuckoo's Nest,314239人评价,https://movie.douban.com/subject/1292224/,自由万岁。,42,9,飞越疯人院
,,,,,,,
"
                            导演: 马丁·布莱斯 Martin Brest???主演: 阿尔·帕西诺 Al Pacino / 克里斯...",?/?Scent of a Woman,381334人评价,https://movie.douban.com/subject/1298624/,史上最美的探戈。,43,8.9,闻香识女人
,,,,,,,
"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 倍赏千惠子 Chieko Baish? / 木村拓...",?/?ハウルの動く城,420219人评价,https://movie.douban.com/subject/1308807/,带着心爱的人在天空飞翔。,44,8.9,哈尔的移动城堡
,,,,,,,
"
                            导演: 杨宇硕 Woo-seok Yang???主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...",?/????,259217人评价,https://movie.douban.com/subject/21937445/,电影的现实意义大过电影本身。,45,9.2,辩护人
,,,,,,,
"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari???主演: 阿米尔·汗 Aamir Khan / 法缇玛...",?/?Dangal,574397人评价,https://movie.douban.com/subject/26387939/,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,46,9.1,摔跤吧！爸爸
,,,,,,,
"
                            导演: 詹姆斯·麦克特格 James McTeigue???主演: 娜塔莉·波特曼 Natalie Por...",?/?V for Vendetta,494260人评价,https://movie.douban.com/subject/1309046/,一张面具背后的理想与革命。,47,8.8,V字仇杀队
,,,,,,,
"
                            导演: Louie Psihoyos???主演: John Chisholm / Mandy-Rae Cruikshank / Char...",?/?The Cove,205753人评价,https://movie.douban.com/subject/3442220/,海豚的微笑，是世界上最高明的伪装。,48,9.3,海豚湾
,,,,,,,
"
                            导演: 彼得·威尔 Peter Weir???主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",?/?Dead Poets Society,328298人评价,https://movie.douban.com/subject/1291548/,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,49,9,死亡诗社
,,,,,,,
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola???主演: 阿尔·帕西诺 A...",?/?The Godfather: Part Ⅱ,221230人评价,https://movie.douban.com/subject/1299131/,优雅的孤独。,50,9.1,教父2
,,,,,,,
"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...",?/?The Lord of the Rings: The Two Towers,313036人评价,https://movie.douban.com/subject/1291572/,承前启后的史诗篇章。,51,9,指环王2：双塔奇兵
,,,,,,,
"
                            导演: 朗·霍华德 Ron Howard???主演: 罗素·克劳 Russell Crowe / 艾德·哈...",?/?A Beautiful Mind,351795人评价,https://movie.douban.com/subject/1306029/,爱是一切逻辑和原由。,52,8.9,美丽心灵
,,,,,,,
"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 伊利亚·伍德 Elijah Wood / 西恩...",?/?The Lord of the Rings: The Fellowship of the Ring,350397人评价,https://movie.douban.com/subject/1291571/,传说的开始。,53,8.9,指环王1：魔戒再现
,,,,,,,
"
                            导演: 李安 Ang Lee???主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",?/?飲食男女,239700人评价,https://movie.douban.com/subject/1291818/,人生不能像做菜，把所有的料都准备好了才下锅。,54,9.1,饮食男女
,,,,,,,
"
                            导演: 岩井俊二 Shunji Iwai???主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...",?/?Love Letter,431847人评价,https://movie.douban.com/subject/1292220/,暗恋的极致。,55,8.8,情书
,,,,,,,
"
                            导演: 赛尔乔·莱翁内 Sergio Leone???主演: 罗伯特·德尼罗 Robert De Niro ...",?/?Once Upon a Time in America,201372人评价,https://movie.douban.com/subject/1292262/,往事如烟，无处祭奠。,56,9.1,美国往事
,,,,,,,
"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff???主演: 乔纳森·泰勒·托马...",?/?The Lion King,328525人评价,https://movie.douban.com/subject/1301753/,动物版《哈姆雷特》。,57,8.9,狮子王
,,,,,,,
"
                            导演: 李濬益 Jun-ik Lee???主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",?/???,222755人评价,https://movie.douban.com/subject/21937452/,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,58,9.1,素媛
,,,,,,,
"
                            导演: 罗曼·波兰斯基 Roman Polanski???主演: 艾德里安·布洛迪 Adrien Brod...",?/?The Pianist,231826人评价,https://movie.douban.com/subject/1296736/,音乐能化解仇恨。,59,9,钢琴家
,,,,,,,
"
                            导演: 马基德·马基迪 Majid Majidi???主演: Amir Farrokh Hashemian / 默罕...",?/??????? ?????,164833人评价,https://movie.douban.com/subject/1303021/,奔跑的孩子是天使。,60,9.2,小鞋子
,,,,,,,
"
                            导演: 大卫·芬奇 David Fincher???主演: 摩根·弗里曼 Morgan Freeman / 布...",?/?Se7en,489389人评价,https://movie.douban.com/subject/1292223/,警察抓小偷，老鼠玩死猫。,61,8.7,七宗罪
,,,,,,,
"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet???主演: 奥黛丽·塔图 Audrey Tau...",?/?Le fabuleux destin d'Amélie Poulain,544434人评价,https://movie.douban.com/subject/1292215/,法式小清新。 ,62,8.7,天使爱美丽
,,,,,,,
"
                            导演: 中岛哲也 Tetsuya Nakashima???主演: 中谷美纪 Miki Nakatani / 瑛太 E...",?/?嫌われ松子の一生,343222人评价,https://movie.douban.com/subject/1787291/,以戏谑来戏谑戏谑。,63,8.9,被嫌弃的松子的一生
,,,,,,,
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 休·杰克曼 Hugh Jackman...",?/?The Prestige,395980人评价,https://movie.douban.com/subject/1780330/,孪生蝙蝠侠大战克隆金刚狼。,64,8.8,致命魔术
,,,,,,,
"
                            导演: 大卫·芬奇 David Fincher???主演: 凯特·布兰切特 Cate Blanchett / ...",?/?The Curious Case of Benjamin Button,449391人评价,https://movie.douban.com/subject/1485260/,在时间之河里感受溺水之苦。,65,8.8,本杰明·巴顿奇事
,,,,,,,
"
                            导演: Robert Wise???主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...",?/?The Sound of Music,264767人评价,https://movie.douban.com/subject/1294408/,用音乐化解仇恨，让歌声串起美好。,66,8.9,音乐之声
,,,,,,,
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 莫妮卡·贝鲁奇 Monica ...",?/?Malèna,413166人评价,https://movie.douban.com/subject/1292402/,美丽无罪。,67,8.8,西西里的美丽传说
,,,,,,,
"
                            导演: 梅尔·吉布森 Mel Gibson???主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",?/?Braveheart,327919人评价,https://movie.douban.com/subject/1294639/,史诗大片的典范。,68,8.8,勇敢的心
,,,,,,,
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 汤姆·汉克斯 Tom Hanks...",?/?Saving Private Ryan,279632人评价,https://movie.douban.com/subject/1292849/,美利坚精神输出大片No1.,69,8.9,拯救大兵瑞恩
,,,,,,,
"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski???主...",?/?The Matrix,326107人评价,https://movie.douban.com/subject/1291843/,视觉革命。,70,8.8,黑客帝国
,,,,,,,
